ID,smiles,value,gas
1,[*]Oc1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(C4(c5ccc(Oc6ccc(N7C(=O)c8ccc([*])cc8C7=O)cc6)cc5)c5ccccc5-c5ccccc54)cc3)cc1)C2=O,1.22E-07,CH4
2,[*]=CCCC(=[*])CCCC,4.31E-06,N2
3,[*]CC([*])C(=O)OC1C=C(C)C=CC1,2.31E-06,O2
4,[*]CC([*])(C)C(=O)OC(F)(F)F,1.26E-06,CO2
5,[*]CC(C#N)OC(=O)C([*])C,8.99E-07,N2
6,[*]c1ccc(Oc2ccc3c(c2)C(=O)N(c2ccc(Oc4ccc(Oc5ccc(N6C(=O)c7ccc(Oc8ccc(C([*])(C)C)cc8)cc7C6=O)cc5C(F)(F)F)cc4)c(C(F)(F)F)c2)C3=O)cc1,7.69E-07,O2
7,[*]/C(C)=C(/[*])c1ccccc1,1.46E-07,CH4
8,[*]/C(C)=C(/[*])c1ccccc1,5.87E-07,CO2
9,[*]/C(C)=C(/[*])c1ccccc1,6.68E-07,N2
10,[*]/C(C)=C(/[*])c1ccccc1,1.16E-06,O2
11,[*]/C(CC)=C(/[*])c1ccccc1,1.04E-08,CH4
12,[*]/C(CC)=C(/[*])c1ccccc1,1.46E-06,CO2
13,[*]/C(CC)=C(/[*])c1ccccc1,5.36E-07,N2
14,[*]/C(CC)=C(/[*])c1ccccc1,3.79E-07,O2
15,[*]/C(CCCCCC)=C(/[*])c1ccccc1,1.06E-07,CH4
16,[*]/C(CCCCCC)=C(/[*])c1ccccc1,6.71E-07,CO2
17,[*]/C(CCCCCC)=C(/[*])c1ccccc1,3.48E-07,N2
18,[*]/C(CCCCCC)=C(/[*])c1ccccc1,3.93E-07,O2
19,[*]/C(Cl)=C(/[*])CCCC,3.48E-07,CH4
20,[*]/C(Cl)=C(/[*])CCCC,1.27E-06,CO2
21,[*]/C(Cl)=C(/[*])CCCC,2.92E-07,N2
22,[*]/C(Cl)=C(/[*])CCCC,2.37E-06,O2
23,[*]/C(Cl)=C(/[*])CCCCCC,4.56E-07,CH4
24,[*]/C(Cl)=C(/[*])CCCCCC,7.60E-07,CO2
25,[*]/C(Cl)=C(/[*])CCCCCC,3.71E-06,N2
26,[*]/C(Cl)=C(/[*])CCCCCC,2.74E-06,O2
27,[*]/C(Cl)=C(/[*])c1ccccc1,3.17E-08,CH4
28,[*]/C(Cl)=C(/[*])c1ccccc1,2.74E-07,CO2
29,[*]/C(Cl)=C(/[*])c1ccccc1,2.34E-08,N2
30,[*]/C(Cl)=C(/[*])c1ccccc1,1.09E-06,O2
31,[*]/C=C(/[*])c1ccccc1C,1.57E-08,CH4
32,[*]/C=C(/[*])c1ccccc1C,2.08E-07,CO2
33,[*]/C=C(/[*])c1ccccc1C,2.96E-08,N2
34,[*]/C=C(/[*])c1ccccc1C,1.07E-07,O2
35,[*]/C=C(/[*])c1ccccc1C(F)(F)F,6.98E-09,CH4
36,[*]/C=C(/[*])c1ccccc1C(F)(F)F,6.70E-07,CO2
37,[*]/C=C(/[*])c1ccccc1C(F)(F)F,1.32E-07,N2
38,[*]/C=C(/[*])c1ccccc1C(F)(F)F,4.66E-07,O2
39,[*]=CC1CCC(C=[*])C1,4.92E-08,CH4
40,[*]=CC1CCC(C=[*])C1,3.15E-07,CO2
41,[*]=CC1CCC(C=[*])C1,2.66E-07,N2
42,[*]=CC1CCC(C=[*])C1,1.89E-07,O2
43,[*]c1cccc(N2C(=O)C(=Cc3ccc(C=Cc4ccc(N(c5ccccc5)c5ccc(N(c6ccccc6)c6ccc(C=Cc7ccc(C=C8C(=O)N([*])C(=O)C(C#N)=C8C)s7)cc6)cc5)cc4)s3)C(C)=C(C#N)C2=O)c1,8.22E-07,O2
44,[*]C(=C([*])c1ccc(CCCC)cc1)c1ccccc1,1.00E-06,CH4
45,[*]C(=O)c1ccc2c(c1)C(=O)N(c1ccc(Oc3ccc(N4C(=O)c5ccc(C(=O)N6C(=O)N([*])C(=O)C6(C)CC)cc5C4=O)cc3)cc1)C2=O,4.48E-07,N2
46,[*]NNC(=O)c1ccc(C(=O)NNC(=O)c2ccc(C([*])=O)cn2)s1,2.05E-07,N2
