ID,smiles,value,gas
1,[*]CC([*])Cl,11.17286139,CH4
2,[*]CC([*])Cl,63.99385853,CO2
3,[*]CC([*])Cl,1.78428842,N2
4,[*]CC([*])Cl,2.746346083,O2
5,[*]CC([*])(C)C(=O)OCC,6.310872483,CH4
6,[*]CC([*])(C)C(=O)OCC,48.48480761,CO2
7,[*]CC([*])(C)C(=O)OCC,0.845339487,N2
8,[*]CC([*])(C)C(=O)OCC,1.466834233,O2
9,[*]OC1C(COCC)OC([*])C(O)C1O,9.3401541,CH4
10,[*]OC1C(COCC)OC([*])C(O)C1O,59.78421247,CO2
11,[*]OC1C(COCC)OC([*])C(O)C1O,1.302602461,N2
12,[*]OC1C(COCC)OC([*])C(O)C1O,2.123354339,O2
13,[*]/C(C)=C(/[*])c1ccccc1,1.393054085,CH4
14,[*]/C(C)=C(/[*])c1ccccc1,5.30139775,CO2
15,[*]/C(C)=C(/[*])c1ccccc1,0.218271352,N2
16,[*]/C(C)=C(/[*])c1ccccc1,0.416956055,O2
17,[*]/C(CC)=C(/[*])c1ccccc1,4.640158194,CH4
18,[*]/C(CC)=C(/[*])c1ccccc1,25.80286592,CO2
19,[*]/C(CC)=C(/[*])c1ccccc1,0.941340238,N2
20,[*]/C(CC)=C(/[*])c1ccccc1,1.293689052,O2
21,[*]/C(CCCCCC)=C(/[*])c1ccccc1,4.570528851,CH4
22,[*]/C(CCCCCC)=C(/[*])c1ccccc1,28.21777415,CO2
23,[*]/C(CCCCCC)=C(/[*])c1ccccc1,0.71367975,N2
24,[*]/C(CCCCCC)=C(/[*])c1ccccc1,1.148091823,O2
25,[*]/C(Cl)=C(/[*])CCCC,1.27426975,CH4
26,[*]/C(Cl)=C(/[*])CCCC,3.775319661,CO2
27,[*]/C(Cl)=C(/[*])CCCC,0.280109975,N2
28,[*]/C(Cl)=C(/[*])CCCC,0.439387706,O2
29,[*]/C(Cl)=C(/[*])c1ccccc1,8.385187083,CH4
30,[*]/C(Cl)=C(/[*])c1ccccc1,29.43532231,CO2
31,[*]/C(Cl)=C(/[*])c1ccccc1,1.190754276,N2
32,[*]/C(Cl)=C(/[*])c1ccccc1,1.902383933,O2
33,[*]/C=C(/[*])C(C)(C)C,7.892483229,CH4
34,[*]/C=C(/[*])C(C)(C)C,71.40718786,CO2
35,[*]/C=C(/[*])C(C)(C)C,1.074383329,N2
