smiles,Value
[*]=CCCC=[*],183.8336509
[*]=CCCC(=[*])CCCC,219.9690177
[*]=CCCC(=[*])CCC,224.0594656
[*]=CCCC(=[*])CC,242.0063806
[*]CC([*])(C)C,319.1500944
[*]=CCCC(=[*])C,240.5879471
[*]CCCCOCCCC[*],212.4466264
[*]CCCCC(=O)OCCCCOC([*])=O,258.5718773
[*]CC([*])C(=O)OCCCCCCCC,245.1274834
[*]CC([*])C=CC,279.2762426
[*]CC([*])C(=O)OCCCCCCC,243.3052181
[*]CCCCCOC([*])=O,258.3497272
[*]CC([*])C(=O)OCCCCCCCCC,228.8525
[*]CC([*])C(=O)OCCCCCC,253.9823566
[*]CCCCC(=O)OCCCCCCCCCCOC([*])=O,233.4996041
[*]CC([*])(C)C(=O)OCCCCCCCCCCCC,242.7032575
[*]CC([*])C(=O)OCCCC,260.1831894
[*]CC([*])CCCCC,255.4370353
[*]CCOC(=O)CCC([*])C,275.3145929
[*]=CCCC(=[*])C(C)C,241.3997065
[*]CC([*])CCCC,244.3429637
[*]=CCCC(=[*])Cl,228.868027
[*]CC(C)S[*],176.1709848
[*]CC([*])CC,292.1305533
[*]CC([*])C(=O)OC(C)CCCCCC,248.7712211
[*]CCCCCCCC(=O)OCCOC([*])=O,269.0627715
[*]CC([*])C(=O)OCCC,320.1026181
[*]CC([*])C,301.4047532
[*]CCCCC(=O)OCCOC([*])=O,298.3671277
[*]CC([*])(F)F,295.9064886
[*]CC([*])C(=O)OC(C)CCCCC,270.109758
[*]CC([*])CCCC(C)C,251.0980041
[*]=CCCC(=[*])Br,268.7994153
[*]CCCCCCCCC(=O)OCCOC([*])=O,273.260946
[*]CC([*])C(=O)OCC(C)C,308.7719699
[*]CC([*])C(=O)OCC,344.8901401
[*]CC([*])(C)C(=O)OCCCCCCCC,252.7393591
[*]CC([*])C(=O)OC(C)CC,319.3306046
[*]CC([*])(Cl)Cl,319.1879957
[*]CC([*])C(=O)OC(CC)CC,253.8421867
[*]CC([*])CCC(C)C,258.7225395
[*]c1nc(C(F)(F)F)nc(C(F)(OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC([*])(F)C(F)(F)F)C(F)(F)F)n1,334.6996576
[*]CC([*])(C)C(=O)OCCCCCC,332.453099
[*]CC([*])C=C,250.3792136
[*]CCC(=O)OCCOC([*])=O,339.6681235
[*]CC([*])OC(=O)CCC,359.0259584
[*]CC([*])C(=O)OC,448.949887
[*]CC([*])OC(=O)CC,392.5755819
[*]CC([*])(C)C(=O)OCC(CC)CC,313.7756286
[*]=CCCC(=[*])C(C)(C)C,348.4595533
[*]CC([*])(C)C(=O)OCCCC,272.6155328
[*]CC([*])CC(C)C,310.3467092
[*]CC([*])OC=O,398.5040086
[*]CC([*])(C)C(=O)OCC(C)(C)C,515.1330079
[*]CC([*])(C)C(=O)OCCC,378.001958
[*]CC([*])CCC1CCCCC1,314.8075516
[*]CC([*])C(F)(F)C(F)(F)F,335.9394217
[*]CC([*])C(=O)OC(C)(C)C,392.909781
[*]CC([*])(F)C(F)(F)F,412.9661011
[*]CC([*])(C)C(=O)OCCC(C)(C)C,294.379103
[*]Oc1cccc([*])c1,419.4738424
[*]CC([*])c1ccc(OCCCC)cc1,253.8661467
[*]CC([*])(C)C(=O)OCC(C)C,315.8136147
[*]CC([*])C(C)C,354.1091887
[*]CC([*])(C)C(=O)OCC,432.7304559
[*]CC([*])(C)C(=O)OC(C)C,384.9628027
[*]CCc1ccc([*])cc1C,375.8623608
[*]CC([*])C(=O)C(C)C,255.3056743
[*]CC([*])(C)C(=O)OC(C)CC,374.8200036
[*]CC([*])(Cl)C(=O)OCCCC,298.3490324
[*]CC([*])C(F)(F)C(F)(F)C(F)(F)F,375.2121951
[*]CC([*])CC1CCCC1,319.7687338
[*]CC([*])Cc1ccccc1,355.0512749
[*]CCc1ccc([*])cc1,371.9663481
[*]OCCOC(=O)c1ccc(C([*])=O)c2ccccc12,414.0972216
[*]CC([*])(Cl)C(=O)OCCC,352.8984405
[*]OCCOC(=O)c1cccc2c(C([*])=O)cccc12,417.7192572
[*]CC([*])C(C)C=O,375.1209533
[*]OCCOC(=O)c1ccc(C([*])=O)cc1,415.8540031
[*]CC([*])(Cl)C(=O)OC(C)CC,398.8860803
[*]CC([*])CC1CCCCC1,339.3314568
[*]CC([*])C1CCCC1,395.2853072
[*]CC([*])Cl,270.9498899
[*]CC([*])(C)C(=O)OCC(C)O,358.2408518
[*]CC([*])c1ccc(COC)cc1,394.941301
[*]CCc1ccc([*])cc1Cl,392.9928608
[*]CCc1ccc([*])cc1Br,353.8694179
[*]OCCOc1ccc(C([*])=O)cc1,376.9633055
[*]CC([*])O,336.8182823
[*]Oc1ccc([*])cc1,458.1835271
[*]CC([*])c1ccc(OCC)cc1,375.1146128
[*]CC([*])(C)C(=O)OCCO,434.4776737
[*]CC([*])c1cc(C(C)(C)C)ccc1C,450.724964
[*]CC([*])c1ccc(C(C)C)cc1,430.3333267
[*]Sc1ccc([*])cc1,376.5444545
[*]CC([*])c1ccc(OC)cc1,414.9753828
[*]CC([*])C1CCCCC1,404.5506019
[*]CCc1ccc([*])cc1C#N,378.4592134
[*]CC([*])c1cccc(Cl)c1,419.5623897
[*]CC([*])(Cl)C(=O)OC(C)C,392.5448521
[*]c1ccc(C(F)(F)C([*])(F)F)cc1,377.4151847
[*]CC([*])(C)C(=O)OCCCl,355.0315889
[*]CC([*])(Cl)C(=O)OCC,434.170783
